GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	 LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS363478234	2016-01-04 07:39:27	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-01-03	07:10:00	obsr672972	S26665622	Traveling	P22	EBIRD_MEX	120	1.5		4	1	G1530524	0	1	0		Observación de Aves 4 personas Raymundo Martínez, Noel Rivas, Cecilia Alvarez y Juan Flores miembros de la red de monitores comunitarios Mayan Jays.	
URN:CornellLabOfOrnithology:EBIRD:OBS410445721	2018-12-07 10:45:59	19161	species	Cozumel Vireo	Vireo bairdi			13				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-06-05	05:30:00	obsr131498	S30121147	Traveling	P22	EBIRD	300	10		2	1	G1803455	0	1	0		Started b4 dawn on N rd, drove to gate by dawn, waited at first ranch for ~45 min, then slowly started heading back to pueblo where hit NW corner, found BCMA at ~0900, spent ~25 min w/ martin til it flew off and didn't come back, hit S rd exploring ATV rds and S field and back. Mostly cloudy, tropical storm just off to E, no wind, humid. <br />Submitted from eBird for iOS, version 1.2.1 Build 65	
URN:CornellLabOfOrnithology:EBIRD:OBS393373973	2016-04-20 19:08:24	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-04-16	10:00:00	obsr178480	S29086967	Traveling	P22	EBIRD	90	3.219		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS363478278	2016-01-04 07:39:35	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-01-03	07:10:00	obsr672972	S26665623	Traveling	P22	EBIRD_MEX	120	1.5		4	1	G1530524	0	1	0		Observación de Aves 4 personas Raymundo Martínez, Noel Rivas, Cecilia Alvarez y Juan Flores miembros de la red de monitores comunitarios Mayan Jays.	
URN:CornellLabOfOrnithology:EBIRD:OBS425965548	2017-05-10 07:20:41	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-08-24	11:43:00	obsr131498	S31292783	Traveling	P22	EBIRD	150	6		2	1	G1900401	1	1	0		Partly cloudy, warm, lgt N ish breeze. Good charcas on S rd ATV trail entrance, mosquitoes! Obs include just W of town, S rd to ATV trails (which showed up and we took off to N rd), N rd and pueblo. <br />Submitted from eBird for iOS, version 1.2.6 Build 75	
URN:CornellLabOfOrnithology:EBIRD:OBS410430081	2018-12-07 10:45:59	19161	species	Cozumel Vireo	Vireo bairdi			13				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-06-05	05:30:00	obsr52442	S30120127	Traveling	P22	EBIRD	300	10		2	1	G1803455	0	1	0		Started b4 dawn on N rd, drove to gate by dawn, waited at first ranch for ~45 min, then slowly started heading back to pueblo where hit NW corner, found BCMA at ~0900, spent ~25 min w/ martin til it flew off and didn't come back, hit S rd exploring ATV rds and S field and back. Mostly cloudy, tropical storm just off to E, no wind, humid. <br />Submitted from eBird for iOS, version 1.2.1 Build 65	
URN:CornellLabOfOrnithology:EBIRD:OBS363279710	2016-01-03 17:53:42	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-01-03	07:10:00	obsr411187	S26649961	Traveling	P22	EBIRD_MEX	120	1.5		4	1	G1530524	0	1	0		Observación de Aves 4 personas Raymundo Martínez, Noel Rivas, Cecilia Alvarez y Juan Flores miembros de la red de monitores comunitarios Mayan Jays.	
URN:CornellLabOfOrnithology:EBIRD:OBS410429295	2018-06-06 10:45:42	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-06-06	08:40:00	obsr52442	S30120061	Traveling	P22	EBIRD	100	3		2	1	G1803452	0	1	0		Obs from around pueblo and bit down S rd just S of ranch/cows. Very cloudy, super humid (tons of rain last night/storm), lgt SE breeze.  <br />Submitted from eBird for iOS, version 1.2.1 Build 65	H
URN:CornellLabOfOrnithology:EBIRD:OBS363305232	2016-01-03 17:53:42	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-01-03	07:10:00	obsr622928	S26651916	Traveling	P22	EBIRD_MEX	120	1.5		4	1	G1530524	0	1	0		Observación de Aves 4 personas Raymundo Martínez, Noel Rivas, Cecilia Alvarez y Juan Flores miembros de la red de monitores comunitarios Mayan Jays.	
URN:CornellLabOfOrnithology:EBIRD:OBS432227908	2016-09-25 21:20:12	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-09-25	15:30:00	obsr239797	S31758609	Traveling	P22	EBIRD	135	2		1	1		0	1	0		In town and on the road going out to the Mayan amusement park	
URN:CornellLabOfOrnithology:EBIRD:OBS413868859	2016-06-24 14:41:46	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-06-24	11:37:00	obsr424498	S30371833	Traveling	P22	EBIRD	88	9.656		1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.2.2 Build 70	
URN:CornellLabOfOrnithology:EBIRD:OBS378198373	2017-03-19 21:14:36	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-02-26	17:00:00	obsr232095	S27912624	Traveling	P22	EBIRD	120	2		2	1	G2283136	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS425025485	2016-09-14 07:57:20	19161	species	Cozumel Vireo	Vireo bairdi			7				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Planetario Chaan Kan	L4875437	P	20.477055	-86.969475	2016-08-23	09:03:00	obsr294601	S31217646	Traveling	P22	EBIRD	427	10		2	1	G1924093	0	1	0		<br />Submitted from eBird for iOS, version 1.2.6 Build 75	
URN:CornellLabOfOrnithology:EBIRD:OBS429772269	2016-09-14 07:57:20	19161	species	Cozumel Vireo	Vireo bairdi			7				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Planetario Chaan Kan	L4875437	P	20.477055	-86.969475	2016-08-23	09:03:00	obsr606365	S31575884	Traveling	P22	EBIRD	427	10		2	1	G1924093	0	1	0		<br />Submitted from eBird for iOS, version 1.2.6 Build 75	
URN:CornellLabOfOrnithology:EBIRD:OBS384780882	2016-03-22 14:07:13	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			southern Cozumel	L4402968	P	20.3131266	-86.9805794	2016-03-08	09:15:00	obsr341419	S28473207	Traveling	P22	EBIRD	120	16.093		5	1	G1652679	0	1	0		CO GK Ma Pop, and Willy.  Collared peccary, zebra longwing, blue morpho	
URN:CornellLabOfOrnithology:EBIRD:OBS384162363	2016-03-22 14:07:13	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			southern Cozumel	L4402968	P	20.3131266	-86.9805794	2016-03-08	09:15:00	obsr280131	S28427454	Traveling	P22	EBIRD	120	16.093		5	1	G1652679	0	1	0		CO GK Ma Pop, and Willy.  Collared peccary, zebra longwing, blue morpho	
URN:CornellLabOfOrnithology:EBIRD:OBS384167749	2016-03-22 14:07:13	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			southern Cozumel	L4402968	P	20.3131266	-86.9805794	2016-03-08	09:15:00	obsr229707	S28427831	Traveling	P22	EBIRD	120	16.093		5	1	G1652679	0	1	0		CO GK Ma Pop, and Willy.  Collared peccary, zebra longwing, blue morpho	
URN:CornellLabOfOrnithology:EBIRD:OBS452543286	2016-12-30 11:17:00	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Avenida Antonio Gonzalez Fernandez	L1048933	H	20.5054757	-86.9212908	2016-12-30	07:05:00	obsr165598	S33287951	Traveling	P22	EBIRD	118	1.5		1	1		0	1	0		Walked from town edge up to where patrol road cuts off, the south through denuded second growth to town edge again. 	
URN:CornellLabOfOrnithology:EBIRD:OBS455603574	2017-01-13 12:07:26	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178				Sunscape Sabor Cozumel	L5215606	H	20.4070197	-87.0159727	2016-12-30	07:30:00	obsr157112	S33544617	Traveling	P22	EBIRD	90	1.609		1	1		0	1	0		Walking from Sunscape north on the old road, then back	
URN:CornellLabOfOrnithology:EBIRD:OBS362828790	2016-01-02 13:29:14	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planetario cozumel	L4118719	P	20.4761452	-86.9675301	2016-01-02	06:50:00	obsr672972	S26611035	Traveling	P22	EBIRD_MEX	120	1		3	1	G1526614	0	1	0		fuimos un grupo de tres personas Juan Flores Cecilia Álvarez y Noel Rivas parte de la red de monitoreo comunitario Mayan Jays comprobamos lo importante de monitorear sitios fragmentados en la mancha urbana y como en estos coexisten las especies endémicas y migratorias	
URN:CornellLabOfOrnithology:EBIRD:OBS362842274	2016-01-02 13:41:07	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			planetario cozumel	L4118719	P	20.4761452	-86.9675301	2016-01-02	06:50:00	obsr411187	S26612155	Traveling	P22	EBIRD_MEX	120	1		3	1	G1526614	0	1	0		fuimos un grupo de tres personas Juan Flores Cecilia Álvarez y Noel Rivas parte de la red de monitoreo comunitario Mayan Jays comprobamos lo importante de monitorear sitios fragmentados en la mancha urbana y como en estos coexisten las especies endémicas y migratorias	
URN:CornellLabOfOrnithology:EBIRD:OBS450486105	2016-12-20 22:35:10	19161	species	Cozumel Vireo	Vireo bairdi			4				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Planetario de Cozumel.	L4098426	P	20.476824	-86.9686888	2016-11-26	09:00:00	obsr411187	S33124295	Traveling	P22	EBIRD_MEX	120	1		4	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS446490446	2019-01-30 12:30:08	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			PN Chankanaab	L1127535	H	20.4421721	-86.9942701	2016-11-14	09:00:00	obsr648789	S32808847	Traveling	P22	EBIRD_CAN	200	4		2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS412430978	2018-08-17 15:38:06	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 6	L7832070	P	20.5385278	-86.8939722	2016-05-29	08:14:00	obsr622980	S30263847	Stationary	P21	EBIRD_MEX	10			4	1	G1817804	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS412694614	2018-08-17 15:38:06	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 6	L7832070	P	20.5385278	-86.8939722	2016-05-29	08:14:00	obsr539688	S30281399	Stationary	P21	EBIRD_MEX	10			4	1	G1817804	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS464136139	2018-08-17 15:42:44	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-09-04	07:30:00	obsr539688	S34236579	Stationary	P21	EBIRD_MEX	10			3	1	G2133281	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS454880460	2018-08-17 15:42:44	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-09-04	07:30:00	obsr622980	S33482523	Stationary	P21	EBIRD_MEX	10			3	1	G2133281	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS370930704	2016-02-04 20:27:26	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Bello Caribe	L4218147	P	20.5501368	-86.9248409	2016-02-03	16:00:00	obsr424895	S27304966	Traveling	P22	EBIRD	120	12		2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS425779163	2016-08-27 16:33:40	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Reserva Cozumel Derelict Farm	L4882928	P	20.4551619	-86.887275	2016-08-11	06:30:00	obsr353030	S31275554	Stationary	P21	EBIRD	90			1	1		0	1	0			small neat vireo well marked head and cinnamon sides- very inquisitive and approached to 2ft
URN:CornellLabOfOrnithology:EBIRD:OBS464136004	2018-08-17 21:37:59	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, Punto 11	L7833363	P	20.5461667	-86.9052222	2016-12-11	07:55:00	obsr539688	S34236559	Stationary	P21	EBIRD_MEX	10			2	1	G2133266	0	1	0		Raymundo Martínez y Noel Rivas	
URN:CornellLabOfOrnithology:EBIRD:OBS364687228	2016-01-09 12:08:18	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel	L350597	T	20.51667	-86.94167	2016-01-09	07:12:00	obsr672972	S26791532	Traveling	P22	EBIRD_MEX	180	1		2	1		0	1	0		En los últimos meses de Noviembre, Diciembre del año pasado y ahora en Enero del 2016 he notado la presencia de loros por ciertos puntos de la ciudad, en esta ocacion pude identificar a la especie Amazona albifrons y corrobore que en los acahuales presentes en la ciudad son de suma importancia para la avifauna que ocupa estos sitios para alimentación, reproducción y descanso,	
URN:CornellLabOfOrnithology:EBIRD:OBS384202759	2016-03-19 17:03:50	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			neighborhood near observatory	L4403268	P	20.4707316	-86.9602375	2016-03-09	07:00:00	obsr229707	S28430503	Traveling	P22	EBIRD	80	6.437		5	1	G1652882	0	1	0		CO GK, Ma, Pop and Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS384185196	2016-03-19 17:03:50	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			neighborhood near observatory	L4403268	P	20.4707316	-86.9602375	2016-03-09	07:00:00	obsr280131	S28429235	Traveling	P22	EBIRD	80	6.437		5	1	G1652882	0	1	0		CO GK, Ma, Pop and Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS384780670	2016-03-21 18:17:24	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			neighborhood near observatory	L4403268	P	20.4707316	-86.9602375	2016-03-09	07:00:00	obsr341419	S28473187	Traveling	P22	EBIRD	80	6.437		5	1	G1652882	0	1	0		CO GK, Ma, Pop and Willy	
URN:CornellLabOfOrnithology:EBIRD:OBS432506080	2018-08-06 15:59:07	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-09-26	08:00:00	obsr239797	S31777597	Traveling	P22	EBIRD	70	6		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS476865239	2017-03-19 21:15:10	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-29	07:45:00	obsr677191	S35293567	Traveling	P22	EBIRD	240	5		2	1	G2283146	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS389319376	2016-04-08 07:07:39	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-28	08:00:00	obsr553318	S28807415	Traveling	P22	EBIRD	320	4.828		4	1	G1624090	0	1	0		NatureScape Tours with Kim Risen, Cindy Risen, Patty McLean, John Curlew, Betty Cash <br />Submitted from eBird for iOS, version 1.1.5 Build 44	
URN:CornellLabOfOrnithology:EBIRD:OBS386416381	2016-03-28 01:52:23	19161	species	Cozumel Vireo	Vireo bairdi			4				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-03-24	06:10:00	obsr204337	S28595539	Traveling	P22	EBIRD	370	60		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS439802061	2016-11-01 02:41:07	19161	species	Cozumel Vireo	Vireo bairdi			3				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-10-20	08:20:00	obsr347955	S32322062	Traveling	P22	EBIRD	340	2.5		1	1		0	1	0		Parcialmente nublado con lluvias ligeras.	
URN:CornellLabOfOrnithology:EBIRD:OBS389319419	2016-04-08 07:07:40	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-28	08:00:00	obsr32462	S28807416	Traveling	P22	EBIRD	320	4.828		4	1	G1624090	0	1	0		NatureScape Tours with Kim Risen, Cindy Risen, Patty McLean, John Curlew, Betty Cash <br />Submitted from eBird for iOS, version 1.1.5 Build 44	
URN:CornellLabOfOrnithology:EBIRD:OBS378209357	2017-03-19 21:15:10	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-29	07:45:00	obsr232095	S27913541	Traveling	P22	EBIRD	240	5		2	1	G2283146	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS377788518	2016-02-28 20:27:44	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-28	08:00:00	obsr162851	S27879947	Traveling	P22	EBIRD	320	4.828		4	1	G1624090	0	1	0		NatureScape Tours with Kim Risen, Cindy Risen, Patty McLean, John Curlew, Betty Cash <br />Submitted from eBird for iOS, version 1.1.5 Build 44	
URN:CornellLabOfOrnithology:EBIRD:OBS525584349	2017-08-15 13:37:09	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-28	08:00:00	obsr952638	S38658162	Traveling	P22	EBIRD	320	4.828		4	1	G1624090	0	1	0		NatureScape Tours with Kim Risen, Cindy Risen, Patty McLean, John Curlew, Betty Cash <br />Submitted from eBird for iOS, version 1.1.5 Build 44	
URN:CornellLabOfOrnithology:EBIRD:OBS395586924	2016-04-27 09:13:38	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel--Subdivisión Abandonados	L2439002	H	20.4573627	-86.9600916	2016-04-16	08:00:00	obsr230660	S29236174	Traveling	P22	EBIRD	105	3.219		3	1	G1718765	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS393372311	2016-04-27 09:13:38	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel--Subdivisión Abandonados	L2439002	H	20.4573627	-86.9600916	2016-04-16	08:00:00	obsr178480	S29086863	Traveling	P22	EBIRD	105	3.219		3	1	G1718765	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS423653227	2016-08-23 21:48:29	19161	species	Cozumel Vireo	Vireo bairdi			5				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel--Subdivisión Abandonados	L2439002	H	20.4573627	-86.9600916	2016-08-12	05:30:00	obsr281519	S31116017	Traveling	P22	EBIRD	180	3.219		1	1	G1894902	1	1	0		Biked in early to the subdivision area. Spent a little time in the grid and then majority of the time walking the access road back and stopping periodically. No wrens this morning although I didn't spend any time trying playback as I had seen them well the day prior to the north.  <br />Submitted from eBird for iOS, version 1.2.6 Build 75	1 sang a few times, other than that, all birds observed were only calling.
URN:CornellLabOfOrnithology:EBIRD:OBS384395484	2016-03-20 12:34:58	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-Cozumel Island - 20.4875x-86.8394	L4406101	P	20.487509	-86.839376	2016-03-20	09:42:00	obsr689582	S28444836	Traveling	P22	EBIRD	180	3.219		3	1		0	1	0		Jungle - Villa Maya with Sergio Suarez, Biologist <br />Submitted from eBird for iOS, version 1.1.5 Build 44	
URN:CornellLabOfOrnithology:EBIRD:OBS464136007	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-12-11	07:20:00	obsr539688	S34236560	Stationary	P21	EBIRD_MEX	10			2	1	G2133269	0	1	0		Raymundo Martínez y Noel Rivas	
URN:CornellLabOfOrnithology:EBIRD:OBS454875216	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-09-04	06:12:00	obsr622980	S33482076	Stationary	P21	EBIRD_MEX	10			3	1	G2133283	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS412694599	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-05-29	06:08:00	obsr539688	S30281397	Stationary	P21	EBIRD_MEX	10			4	1	G1817803	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS454975039	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-12-11	07:20:00	obsr622980	S33490913	Stationary	P21	EBIRD_MEX	10			2	1	G2133269	0	1	0		Raymundo Martínez y Noel Rivas	
URN:CornellLabOfOrnithology:EBIRD:OBS412431359	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			2				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-05-29	06:08:00	obsr622980	S30263870	Stationary	P21	EBIRD_MEX	10			4	1	G1817803	0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS427052636	2018-08-17 21:20:29	19161	species	Cozumel Vireo	Vireo bairdi			3			Unknown Sex, Adult (2); Unknown Sex, Juvenile (1)	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-06-12	06:21:00	obsr622980	S31378296	Stationary	P21	EBIRD_MEX	12			3	1	G1911948	0	1	0		Puntos de conteo:	
URN:CornellLabOfOrnithology:EBIRD:OBS450757592	2016-12-22 10:50:48	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Allegro Cozumel Resort	L5168763	P	20.3814204	-87.0201945	2016-12-20	07:15:00	obsr202929	S33147088	Traveling	P22	EBIRD	37	3.219		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS374634362	2016-02-26 21:06:13	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-Quintana Roo - 20.358x-86.97 - Feb 15, 2016 11:38 AM	L4279086	P	20.3582016	-86.9701331	2016-02-15	10:21:00	obsr431367	S27624898	Traveling	P22	EBIRD	75	0.5		6	1	G1620422	0	1	0		<br />Submitted from eBird Android 1.0.2	
URN:CornellLabOfOrnithology:EBIRD:OBS377893683	2016-02-29 10:14:38	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-Quintana Roo - 20.358x-86.97 - Feb 15, 2016 11:38 AM	L4279086	P	20.3582016	-86.9701331	2016-02-15	10:21:00	obsr599142	S27887932	Traveling	P22	EBIRD	75	0.5		6	1	G1620422	0	1	0		<br />Submitted from eBird Android 1.0.2	
URN:CornellLabOfOrnithology:EBIRD:OBS377525195	2016-02-28 01:11:56	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-Quintana Roo - 20.358x-86.97 - Feb 15, 2016 11:38 AM	L4279086	P	20.3582016	-86.9701331	2016-02-15	10:21:00	obsr599144	S27859537	Traveling	P22	EBIRD	75	0.5		6	1	G1620422	0	1	0		<br />Submitted from eBird Android 1.0.2	
URN:CornellLabOfOrnithology:EBIRD:OBS377210861	2016-02-26 21:06:13	19161	species	Cozumel Vireo	Vireo bairdi			1				Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-Quintana Roo - 20.358x-86.97 - Feb 15, 2016 11:38 AM	L4279086	P	20.3582016	-86.9701331	2016-02-15	10:21:00	obsr442691	S27836547	Traveling	P22	EBIRD	75	0.5		6	1	G1620422	0	1	0		<br />Submitted from eBird Android 1.0.2	
