LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	 LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2018-08-17 15:22:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 3	L7831866	P	20.5421389	-86.88425	2016-07-31	07:20:00	obs622980	S31378701	Stationary	P21	EBIRD_MEX	11			4	1	G1911955	
2017-05-10 07:20:41	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-08-24	11:43:00	obs52442	S31276898	Traveling	P22	EBIRD	150	6		2	1	G1900401	Partly cloudy, warm, lgt N ish breeze. Good charcas on S rd ATV trail entrance, mosquitoes! Obs include just W of town, S rd to ATV trails (which showed up and we took off to N rd), N rd and pueblo. <br />Submitted from eBird for iOS, version 1.2.6 Build 75
2016-08-28 11:23:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			coz - abandoned subdivision rd	L4680343	P	20.460685	-86.970717	2016-08-24	14:30:00	obs52442	S31276910	Traveling	P22	EBIRD	120	2.499		1	1	G1900399	Partly cloudy, warm, good NE breeze. Lotsa small red bean-like fruits (chechen, o Metopium brownei -- caustic! shouldn't have touched it!!!) eaten by catbird, vireos, elaenia. Obs from highway to ~1 km in, then down horse trail a bit <br />Submitted from eBird for iOS, version 1.2.6 Build 75
2016-06-07 15:20:41	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 6 Playa punto	L4217234	P	20.2993372	-87.0050843	2016-02-01	09:50:00	obs674687	S27418055	Stationary	P21	EBIRD_MEX	10			5	1	G1587127	
2016-06-08 11:10:17	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 4 Aguada punto	L4217207	P	20.2736984	-86.9893773	2016-02-01	08:33:00	obs674687	S27418064	Stationary	P21	EBIRD_MEX	10			5	1	G1587125	
2018-08-17 15:42:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-01-31	10:09:00	obs622980	S27266580	Stationary	P21	EBIRD_MEX	10			5	1	G1583347	Ancho del camino en este punto: 7.20mt--Miembros del Cozumel Birding Club en este día: Rosalinda Garcia, Raymundo Martínez e Itzel Arista. Acompañandonos chicas de servicio social de Miguel Martínez: Thalía González y Griselda Jorge.
2018-08-17 15:30:22	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 4	L7831879	P	20.5404167	-86.8888333	2016-06-12	07:40:00	obs622980	S31432156	Stationary	P21	EBIRD_MEX	10			4	1	G1911943	
2018-08-17 15:30:22	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 4	L7831879	P	20.5404167	-86.8888333	2016-07-31	07:35:00	obs622980	S31378728	Stationary	P21	EBIRD_MEX	10			4	1	G1911938	
2016-06-03 14:31:05	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 1 Torre punto	L4216806	P	20.2809922	-86.9790991	2016-02-01	07:25:00	obs672437	S27294958	Stationary	P21	EBIRD_MEX	10			5	1	G1587121	"Primer punto de conteo dentro del parque Punta Sur, fue a un costado de la Torre Cocodrilo, al borde de la laguna ""Ixtacun""."
2018-08-17 15:20:53	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 2	L7831853	P	20.5430278	-86.8817778	2016-01-31	08:09:00	obs672972	S27265872	Stationary	P21	EBIRD_MEX	12			6	1	G1583213	Ancho del Camino en este punto 7.60 mt--Miembros del Cozumel Birding Club en este día: Cecilia Alcerreca, Rosalinda Garcia, Raymundo Martínez e Itzel Arista. Acompañandonos chicas de servicio social de Miguel Martínez: Thalía González y Griselda Jorge.
2018-08-17 15:38:06	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 6	L7832070	P	20.5385278	-86.8939722	2016-07-31	08:15:00	obs539688	S31443298	Stationary	P21	EBIRD_MEX	10			4	1	G1911935	
2018-08-17 15:38:06	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 6	L7832070	P	20.5385278	-86.8939722	2016-06-12	08:21:00	obs539688	S31443334	Stationary	P21	EBIRD_MEX	10			4	1	G1911947	
2018-08-17 15:38:06	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 6	L7832070	P	20.5385278	-86.8939722	2016-04-24	07:56:00	obs539688	S31443339	Stationary	P21	EBIRD_MEX	10			3	1	G1911949	Nancy Muñoz, Ceci Alcerreca e Itzel Arista
2018-08-17 15:42:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-07-31	07:55:00	obs539688	S31443285	Stationary	P21	EBIRD_MEX	10			4	1	G1911932	
2016-06-03 15:30:15	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 3 Muelle punto	L4217185	P	20.2740078	-86.9872262	2016-02-01	08:05:00	obs674687	S27418065	Stationary	P21	EBIRD_MEX	10			5	1	G1587124	Muellecito cerca del faro Celarain, dentro de la Laguna.
2018-08-17 15:34:24	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 5	L7832046	P	20.5395278	-86.8912778	2016-07-31	07:54:00	obs539688	S31443302	Stationary	P21	EBIRD_MEX	14			4	1	G1911937	
2018-08-17 15:34:24	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 5	L7832046	P	20.5395278	-86.8912778	2016-06-12	07:58:00	obs539688	S31443328	Stationary	P21	EBIRD_MEX	10			4	1	G1911944	
2018-08-17 21:20:29	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-06-12	06:21:00	obs539688	S31443336	Stationary	P21	EBIRD_MEX	12			3	1	G1911948	Puntos de conteo:
2018-08-17 21:20:29	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-07-31	07:02:00	obs539688	S31443340	Stationary	P21	EBIRD_MEX	10			3	1	G1911950	
2018-08-17 15:42:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-06-12	07:59:00	obs539688	S31443348	Stationary	P21	EBIRD_MEX	10			3	1	G1911953	
2016-06-07 13:07:10	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 5 12MPH punto	L4217223	P	20.2961549	-87.0010744	2016-02-01	09:25:00	obs674687	S27418062	Stationary	P21	EBIRD_MEX	10			5	1	G1587126	
2016-06-03 13:20:40	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 2 Cocotal punto	L4216842	P	20.276466	-86.9840343	2016-02-01	07:40:00	obs674687	S27418069	Stationary	P21	EBIRD_MEX	10			5	1	G1587123	Éste punto fue sobre una duna costera, se considero zona de humedal y zona de playa.
2017-04-13 09:09:27	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-North-along main rd - 20.5483x-86.9096	L4218512	P	20.548313	-86.909593	2016-02-01	09:39:00	obs123382	S27418895	Stationary	P21	EBIRD	11			3	1	G1596323	<br />Submitted from eBird for iOS, version 1.1.5 Build 44
2018-08-17 15:20:53	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 2	L7831853	P	20.5430278	-86.8817778	2016-07-31	07:05:00	obs539688	S31443306	Stationary	P21	EBIRD_MEX	15			4	1	G1911939	
2018-08-17 15:20:53	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 2	L7831853	P	20.5430278	-86.8817778	2016-06-12	07:05:00	obs539688	S31443314	Stationary	P21	EBIRD_MEX	10			4	1	G1911942	
2018-08-17 21:37:59	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, Punto 11	L7833363	P	20.5461667	-86.9052222	2016-01-31	10:48:00	obs622928	S27267139	Stationary	P21	EBIRD_MEX	10			5	1	G1583357	Ancho del camino en este punto: 5.30mt--Miembros del Cozumel Birding Club en este día: Rosalinda Garcia, Raymundo Martínez e Itzel Arista. Acompañandonos chicas de servicio social de Miguel Martínez: Thalía González y Griselda Jorge.
2018-08-17 15:41:43	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 7	L7832131	P	20.5387222	-86.8970278	2016-07-31	08:19:00	obs539688	S31443284	Stationary	P21	EBIRD_MEX	10			4	1	G1911931	
2018-08-17 15:22:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 3	L7831866	P	20.5421389	-86.88425	2016-06-12	07:24:00	obs539688	S31443347	Stationary	P21	EBIRD_MEX	10			4	1	G1911952	
2018-08-17 15:22:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 3	L7831866	P	20.5421389	-86.88425	2016-07-31	07:20:00	obs539688	S31443353	Stationary	P21	EBIRD_MEX	11			4	1	G1911955	
2018-08-17 15:41:43	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 7	L7832131	P	20.5387222	-86.8970278	2016-06-12	08:20:00	obs539688	S31443308	Stationary	P21	EBIRD_MEX	10			3	1	G1911940	
2018-08-17 15:41:43	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 7	L7832131	P	20.5387222	-86.8970278	2016-05-29	08:25:00	obs539688	S31443343	Stationary	P21	EBIRD_MEX	10			4	1	G1911951	
2016-02-04 20:27:26	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Bello Caribe	L4218147	P	20.5501368	-86.9248409	2016-02-03	16:00:00	obs424895	S27304966	Traveling	P22	EBIRD	120	12		2	1		
2017-04-13 09:06:27	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-North-marsh obs tower - 20.5433x-86.8808	L4218527	P	20.543328	-86.880795	2016-02-01	10:47:00	obs112900	S27307009	Stationary	P21	EBIRD	12			3	1	G1596310	<br />Submitted from eBird for iOS, version 1.1.5 Build 44
2017-04-13 09:07:24	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-North-along road - 20.5426x-86.8829	L4218540	P	20.542563	-86.882874	2016-02-01	11:04:00	obs112900	S27307043	Stationary	P21	EBIRD	7			3	1	G1596309	<br />Submitted from eBird for iOS, version 1.1.5 Build 44
2016-02-15 19:48:20	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-ROO-Cozumel Waterfront	L4235323	P	20.5097214	-86.9513275	2016-02-01	07:45:00	obs131780	S27411905	Stationary	P21	EBIRD	30			3	1	G1595829	waiting for a rental car
2017-02-05 10:13:02	Mexico	MX	Quintana Roo	MX-ROO							MX-QROO-Passenger Ferry to Cozumel	L4218536	P	20.5659389	-87.0206451	2016-02-01	07:12:00	obs112900	S27307029	Traveling	P22	EBIRD	30	4.828		2	1	G1596318	Ferry to Cozumel.  Jim stayed inside. <br />Submitted from eBird for iOS, version 1.1.5 Build 44
2017-04-13 09:07:06	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-QROO-Cozumel-North-quarry/wetland area - 20.5464x-86.9046	L4218538	P	20.54639	-86.904555	2016-02-01	09:57:00	obs112900	S27307040	Traveling	P22	EBIRD	39	0.644		4	1	G1596317	Wetland area. 0 <br />Submitted from eBird for iOS, version 1.1.5 Build 44
2018-08-17 22:20:25	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 9	L7833465	P	20.5433889	-86.9021111	2016-07-31	07:34:00	obs539688	S31443287	Stationary	P21	EBIRD_MEX	10			4	1	G1911933	
2018-11-29 12:52:38	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Paseo Marítimo de San Miguel	L2439008	H	20.5108016	-86.9500923	2016-01-31	07:45:00	obs123382	S27411910	Stationary	P21	EBIRD	30			3	1	G1595829	waiting for a rental car
2019-02-24 10:54:11	Mexico	MX	Quintana Roo	MX-ROO				56			Ruinas de Xaman Ha	L5967013	H	20.6189221	-87.0786695	2016-08-24	06:30:00	obs208450	S31277527	Traveling	P22	EBIRD	120	2.414		1	1		
2016-02-10 09:35:25	Mexico	MX	Quintana Roo	MX-ROO							Playa Los Dos Compadres	L3530195	H	20.595709	-87.096508	2016-02-10	08:30:00	obs134567	S27408642	Traveling	P22	EBIRD	50	0.644		1	1		Walk down beach, small trail into shore side vegetation <br />Submitted from eBird for iOS, version 1.1.5 Build 44
2016-06-03 14:31:05	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Punta Sur 1 Torre punto	L4216806	P	20.2809922	-86.9790991	2016-02-01	07:25:00	obs674687	S27418070	Stationary	P21	EBIRD_MEX	10			5	1	G1587121	"Primer punto de conteo dentro del parque Punta Sur, fue a un costado de la Torre Cocodrilo, al borde de la laguna ""Ixtacun""."
2018-08-17 12:42:26	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 1	L7831816	P	20.5438611	-86.8794167	2016-06-12	06:47:00	obs539688	S31443294	Stationary	P21	EBIRD_MEX	10			4	1	G1911934	
2018-08-17 15:30:22	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 4	L7831879	P	20.5404167	-86.8888333	2016-07-31	07:35:00	obs539688	S31443303	Stationary	P21	EBIRD_MEX	10			4	1	G1911938	
2018-08-17 22:20:25	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 9	L7833465	P	20.5433889	-86.9021111	2016-06-12	07:33:00	obs539688	S31443311	Stationary	P21	EBIRD_MEX	10			3	1	G1911941	
2018-08-17 15:30:22	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 4	L7831879	P	20.5404167	-86.8888333	2016-06-12	07:40:00	obs539688	S31443323	Stationary	P21	EBIRD_MEX	10			4	1	G1911943	
2018-08-17 12:42:26	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 1	L7831816	P	20.5438611	-86.8794167	2016-07-31	06:50:00	obs539688	S31443351	Stationary	P21	EBIRD_MEX	12			4	1	G1911954	
2018-08-17 15:34:24	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 5	L7832046	P	20.5395278	-86.8912778	2016-06-12	07:58:00	obs622980	S31432219	Stationary	P21	EBIRD_MEX	10			4	1	G1911944	
2019-02-24 10:54:11	Mexico	MX	Quintana Roo	MX-ROO				56			Ruinas de Xaman Ha	L5967013	H	20.6189221	-87.0786695	2016-02-08	07:15:00	obs208450	S27624776	Traveling	P22	EBIRD	70	2.414		1	1		
2016-02-15 08:35:52	Mexico	MX	Quintana Roo	MX-ROO			MX_178				Isla Cozumel--Terminal de Cruceros	L2406448	H	20.4779389	-86.973331	2016-02-03	09:00:00	obs165006	S27565421	Traveling	P22	EBIRD	30	0.5		2	1		with Rob before our snorkel excursion
2018-08-17 12:42:26	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 1	L7831816	P	20.5438611	-86.8794167	2016-07-31	06:50:00	obs622980	S31378586	Stationary	P21	EBIRD_MEX	12			4	1	G1911954	
2018-08-17 21:20:29	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 12	L7832243	P	20.5494444	-86.9120278	2016-06-12	06:21:00	obs622980	S31378296	Stationary	P21	EBIRD_MEX	12			3	1	G1911948	Puntos de conteo:
2016-02-13 17:33:40	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, López Mateos	L4239935	P	20.5025816	-86.9434512	2016-02-12	07:50:00	obs510987	S27485407	Stationary	P21	EBIRD_MEX	17			1	1	G1599576	backyard bird count 2016
2016-02-18 19:38:23	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, Mexico	L732765	P	20.4064205	-86.9128418	2016-02-03	08:30:00	obs289556	S27677212	Traveling	P22	EBIRD	270	32.187		23	1	G1607029	Carefree Birding Cruise
2018-01-01 14:23:26	Mexico	MX	Quintana Roo	MX-ROO				56			Hard Rock Golf Course Riviera Maya	L2245891	H	20.6123602	-87.0889744	2016-02-11	08:15:00	obs134567	S27422833	Stationary	P21	EBIRD	60			1	1		Bird from road, by lake of golf course <br />Submitted from eBird for iOS, version 1.1.5 Build 44
2018-08-17 21:37:59	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, Punto 11	L7833363	P	20.5461667	-86.9052222	2016-06-12	07:01:00	obs622980	S31378349	Stationary	P21	EBIRD_MEX	15			3	1		
2018-08-17 15:42:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 8	L7832155	P	20.54125	-86.8998056	2016-06-12	07:59:00	obs622980	S31378495	Stationary	P21	EBIRD_MEX	10			3	1	G1911953	
2018-08-17 15:34:24	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 5	L7832046	P	20.5395278	-86.8912778	2016-07-31	07:54:00	obs622980	S31378753	Stationary	P21	EBIRD_MEX	14			4	1	G1911937	
2019-02-24 10:54:11	Mexico	MX	Quintana Roo	MX-ROO				56			Ruinas de Xaman Ha	L5967013	H	20.6189221	-87.0786695	2016-02-09	07:15:00	obs208450	S27624959	Traveling	P22	EBIRD	120	3.219		1	1		
2017-05-10 07:20:41	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-08-24	11:43:00	obs131498	S31292783	Traveling	P22	EBIRD	150	6		2	1	G1900401	Partly cloudy, warm, lgt N ish breeze. Good charcas on S rd ATV trail entrance, mosquitoes! Obs include just W of town, S rd to ATV trails (which showed up and we took off to N rd), N rd and pueblo. <br />Submitted from eBird for iOS, version 1.2.6 Build 75
2016-02-18 17:35:56	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, Mexico	L732765	P	20.4064205	-86.9128418	2016-02-03	08:30:00	obs418722	S27674893	Traveling	P22	EBIRD	270	32.187		23	1	G1607029	Carefree Birding Cruise
2018-08-17 15:41:43	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 7	L7832131	P	20.5387222	-86.8970278	2016-06-12	08:20:00	obs622980	S31378548	Stationary	P21	EBIRD_MEX	10			3	1	G1911940	
2018-08-17 22:20:25	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino Laguna Ciega, punto 9	L7833465	P	20.5433889	-86.9021111	2016-06-12	07:33:00	obs622980	S31378426	Stationary	P21	EBIRD_MEX	10			3	1	G1911941	
2018-08-06 17:45:26	Mexico	MX	Quintana Roo	MX-ROO			MX_178				Cozumel Condo	L4835787	P	20.539521	-86.935539	2016-08-04	07:20:00	obs497010	S30967986	Traveling	P22	EBIRD	93	3.219		3	1		<br />Submitted from eBird for iOS, version 1.2.4 Build 72
2016-02-14 10:41:07	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Isla Cozumel	L221424	H	20.3983115	-86.961937	2016-02-12	07:26:00	obs447282	S27516802	Traveling	P22	EBIRD	372	11.265		1	1		<br />Submitted from eBird for iOS, version 1.1.5 Build 44
2016-02-24 15:40:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino al  cedral  - 20.372x-87.014 - Feb 15, 2016 9:03 AM	L4278618	P	20.3722498	-87.01434	2016-02-15	09:03:00	obs431367	S27621808	Traveling	P22	EBIRD	58	5		5	1	G1618014	<br />Submitted from eBird Android 1.0.2
2016-08-04 08:18:11	Mexico	MX	Quintana Roo	MX-ROO			MX_178				Cozumel Condo	L4835787	P	20.539521	-86.935539	2016-08-04	06:39:00	obs497010	S30967180	Stationary	P21	EBIRD	38			1	1		<br />Submitted from eBird for iOS, version 1.2.4 Build 72
2016-02-16 10:34:33	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, Punta Sur	L4274721	P	20.2802123	-86.9796288	2016-02-15	07:37:00	obs622980	S27599401	Traveling	P22	EBIRD_MEX	140	2		8	1	G1604501	Visita del Mayan Jays en Cozumel. Participantes: Victoria, Martha, Angel, Ismael, Paulina, Rosalinda, Raymundo e Itzel--Este listado participa en el Great Backyard Bird Count 2016
2016-08-26 09:45:55	Mexico	MX	Quintana Roo	MX-ROO			MX_178				Cozumel Cruise Ship Terminal	L4880203	P	20.5105554	-86.9560871	2016-05-18	08:00:00	obs104268	S31255755	Traveling	P22	EBIRD	60	4.828		2	1		While coming into port on our ship
2016-02-24 15:39:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-02-15	10:03:00	obs431367	S27622139	Stationary	P21	EBIRD	10			5	1	G1618013	<br />Submitted from eBird Android 1.0.2
2016-02-24 15:40:37	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Zona Arqueológica San Gervasio	L454906	H	20.499828	-86.8459126	2016-02-14	12:36:00	obs604074	S27799539	Traveling	P22	EBIRD	31	6.5		4	1	G1618016	<br />Submitted from eBird Android 1.0.2
2016-02-24 05:57:57	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel	L4306215	P	20.5530003	-86.9157171	2016-01-15	08:00:00	obs530372	S27792462	Stationary	P21	EBIRD	120			4	1		
2016-02-24 21:32:41	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			MX-Quintana Roo-Camino isla pasión - 20.54x-86.891 - 	L4305791	P	20.5404107	-86.8907756	2016-02-16	13:17:00	obs431367	S27788150	Traveling	P22	EBIRD	30	1.5		4	1	G1618011	<br />Submitted from eBird Android 1.0.2
2016-02-24 15:39:44	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			El Cedral (pueblo)	L1973735	H	20.3690898	-86.9935226	2016-02-15	10:03:00	obs604074	S27799522	Stationary	P21	EBIRD	10			5	1	G1618013	<br />Submitted from eBird Android 1.0.2
2016-08-08 11:37:31	Mexico	MX	Quintana Roo	MX-ROO				56			MX-QROO-Calle 6 N - 20,6243x-87,0723 - 8 de ago de 2016 10:33	L4844957	P	20.624313	-87.072261	2016-07-29	10:33:00	obs789773	S31019791	Traveling	P22	EBIRD	45	0.1		2	1		Males and females eating tourist left overs  <br />Submitted from eBird for iOS, version 1.2.5 Build 73
2016-02-24 15:40:01	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Camino al  cedral  - 20.372x-87.014 - Feb 15, 2016 9:03 AM	L4278618	P	20.3722498	-87.01434	2016-02-15	09:03:00	obs604074	S27799527	Traveling	P22	EBIRD	58	5		5	1	G1618014	<br />Submitted from eBird Android 1.0.2
2015-09-02 10:02:34	Mexico	MX	Quintana Roo	MX-ROO				56			Playa del Carmen, MX	L3883333	P	20.6294909	-87.0740318	2015-08-24	18:00:00	obs219197	S24858975	Stationary	P21	EBIRD	15			1	1		
2016-02-13 17:28:08	Mexico	MX	Quintana Roo	MX-ROO			MX_178	57			Cozumel, López Mateos	L4239935	P	20.5025816	-86.9434512	2016-02-12	07:50:00	obs539688	S27485713	Stationary	P21	EBIRD_MEX	17			1	1	G1599576	
